mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__num_leaves,param_model__n_estimators,param_model__learning_rate,param_model__boosting_type,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
5.47781195640564,0.001686228419530401,0.032060766220092775,0.000923032946897315,50,100,0.1,gbdt,"{'model__num_leaves': 50, 'model__n_estimators': 100, 'model__learning_rate': 0.1, 'model__boosting_type': 'gbdt'}",0.846517119244392,0.8206650831353919,0.8448687350835322,0.8437314319667261,0.8391691394658753,0.8389903017791834,0.009481907993483384,4
7.536958646774292,0.04512256128511682,0.03318696022033692,0.002448237821531661,50,200,0.1,dart,"{'model__num_leaves': 50, 'model__n_estimators': 200, 'model__learning_rate': 0.1, 'model__boosting_type': 'dart'}",0.8370986920332937,0.8196333530455352,0.848198464264619,0.8420427553444181,0.8348134991119005,0.8363573527599535,0.009541079170261866,6
4.016166687011719,1.8816359323524454,0.02928934097290039,0.0018777376295433823,31,200,0.1,dart,"{'model__num_leaves': 31, 'model__n_estimators': 200, 'model__learning_rate': 0.1, 'model__boosting_type': 'dart'}",0.8391691394658753,0.820816085156712,0.8406819517930629,0.8404255319148937,0.839811542991755,0.8361808502644598,0.007700195401831285,7
2.0862175464630126,0.20847295327307652,0.026285648345947266,0.0010319136089901471,31,200,0.05,gbdt,"{'model__num_leaves': 31, 'model__n_estimators': 200, 'model__learning_rate': 0.05, 'model__boosting_type': 'gbdt'}",0.8427895981087471,0.8238067177371833,0.8412887828162291,0.8451536643026005,0.8388625592417062,0.8383802644412933,0.007568375255242287,5
16.17274260520935,0.9681382838334036,0.04602828025817871,0.007638303272516843,100,500,0.05,dart,"{'model__num_leaves': 100, 'model__n_estimators': 500, 'model__learning_rate': 0.05, 'model__boosting_type': 'dart'}",0.8457415128052412,0.8262910798122066,0.846836191602602,0.8403560830860534,0.8414849734826164,0.8401419681577439,0.007346620233205277,3
5.08073878288269,0.062159495276392335,0.0275972843170166,0.0012147771111676636,100,200,0.01,gbdt,"{'model__num_leaves': 100, 'model__n_estimators': 200, 'model__learning_rate': 0.01, 'model__boosting_type': 'gbdt'}",0.8262176788935659,0.8155452436194895,0.840117994100295,0.8265245707519242,0.8255470136014192,0.8267905001933388,0.007823336767201348,8
14.22343144416809,0.15704645734347625,0.04240174293518066,0.004613638249215363,100,500,0.05,gbdt,"{'model__num_leaves': 100, 'model__n_estimators': 500, 'model__learning_rate': 0.05, 'model__boosting_type': 'gbdt'}",0.845422116527943,0.8306784660766962,0.8617021276595744,0.833732057416268,0.8488095238095238,0.844068858298001,0.011147999479869287,1
8.520114755630493,0.4862238430513484,0.03273611068725586,0.0020405443189991414,50,500,0.1,dart,"{'model__num_leaves': 50, 'model__n_estimators': 500, 'model__learning_rate': 0.1, 'model__boosting_type': 'dart'}",0.8481238832638476,0.8280701754385965,0.8515671200473093,0.8462455303933254,0.8431024274718768,0.8434218273229911,0.00815111838350686,2
1.8581174850463866,0.030825713506047733,0.028876399993896483,0.002500663568654881,31,200,0.01,gbdt,"{'model__num_leaves': 31, 'model__n_estimators': 200, 'model__learning_rate': 0.01, 'model__boosting_type': 'gbdt'}",0.8267954133977067,0.807556080283353,0.833826138379657,0.8274231678486997,0.8258064516129032,0.824281450304464,0.008824455805866967,9
5.116198492050171,0.06455725673054562,0.027592182159423828,0.0007499079288532414,100,200,0.01,dart,"{'model__num_leaves': 100, 'model__n_estimators': 200, 'model__learning_rate': 0.01, 'model__boosting_type': 'dart'}",0.8233194527067222,0.8053302433371958,0.8333333333333334,0.8279952550415184,0.8107462686567164,0.8201449106150973,0.010520921595721421,10
