mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__solver,param_model__penalty,param_model__max_iter,param_model__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.1257577896118164,0.006467889506186704,0.0362858772277832,0.004004024561995383,saga,l2,1000,1.0,"{'model__solver': 'saga', 'model__penalty': 'l2', 'model__max_iter': 1000, 'model__C': 1}",0.8088942307692307,0.7817969661610268,0.8045157456922163,0.8144690781796966,0.8051948051948052,0.8029741651993951,0.011162093641352299,7
0.13998885154724122,0.009060608556009929,0.037708187103271486,0.0017555123227873913,liblinear,l1,1000,100.0,"{'model__solver': 'liblinear', 'model__penalty': 'l1', 'model__max_iter': 1000, 'model__C': 100}",0.8103241296518607,0.7801749271137026,0.8038049940546967,0.8146853146853147,0.807307012374779,0.8032592755760707,0.012083341082827603,2
0.1054229736328125,0.004671069384514287,0.036432075500488284,0.0026840528101808488,liblinear,l2,1000,1.0,"{'model__solver': 'liblinear', 'model__penalty': 'l2', 'model__max_iter': 1000, 'model__C': 1}",0.8088942307692307,0.7832167832167832,0.8045157456922163,0.8144690781796966,0.8051948051948052,0.8032581286105464,0.010624865927562493,3
0.1224062442779541,0.007440511942072665,0.03525876998901367,0.0030177368554749917,saga,l2,1000,100.0,"{'model__solver': 'saga', 'model__penalty': 'l2', 'model__max_iter': 1000, 'model__C': 100}",0.8103241296518607,0.7801749271137026,0.8038049940546967,0.8146853146853147,0.8066037735849056,0.8031186278180961,0.012039420612306177,5
0.1302858829498291,0.008674412698000566,0.03257532119750976,0.0026662167113841386,liblinear,l1,1000,1.0,"{'model__solver': 'liblinear', 'model__penalty': 'l1', 'model__max_iter': 1000, 'model__C': 1}",0.8096096096096096,0.7827606290040768,0.8040380047505938,0.8135198135198135,0.8061284619917501,0.8032113037751689,0.010720326822096313,4
0.12841920852661132,0.012142235406074765,0.03231229782104492,0.003415589698708826,saga,l1,2000,10.0,"{'model__solver': 'saga', 'model__penalty': 'l1', 'model__max_iter': 2000, 'model__C': 10}",0.8103241296518607,0.7801749271137026,0.8033273915626857,0.8146853146853147,0.8066037735849056,0.8030231073196938,0.01203549007113835,6
0.09068174362182617,0.008227210471516208,0.0345954418182373,0.0028523226271953564,liblinear,l1,2000,0.01,"{'model__solver': 'liblinear', 'model__penalty': 'l1', 'model__max_iter': 2000, 'model__C': 0.01}",0.79491833030853,0.7767332549941246,0.786865671641791,0.7915443335290664,0.7957497048406139,0.7891622590628252,0.006956371651168196,9
0.11661953926086426,0.009994853474615387,0.03198113441467285,0.0034886434409815794,saga,l2,1000,0.1,"{'model__solver': 'saga', 'model__penalty': 'l2', 'model__max_iter': 1000, 'model__C': 0.1}",0.8129885748647023,0.7864248098303102,0.8030933967876264,0.8115091015854374,0.8063754427390791,0.8040782651614311,0.00951317428236654,1
0.08398966789245606,0.006897781033794006,0.03224105834960937,0.0019338283501767505,liblinear,l1,2000,0.001,"{'model__solver': 'liblinear', 'model__penalty': 'l1', 'model__max_iter': 2000, 'model__C': 0.001}",0.7024557395773844,0.6778523489932886,0.6946651532349603,0.6768361581920904,0.7017543859649122,0.6907127571925271,0.011255103149988755,10
0.0997772216796875,0.008901816121038575,0.018829822540283203,0.0006069703060379027,saga,l1,1000,1.0,"{'model__solver': 'saga', 'model__penalty': 'l1', 'model__max_iter': 1000, 'model__C': 1}",0.8088942307692307,0.7810858143607706,0.8040380047505938,0.8133022170361727,0.8054245283018868,0.802548959043731,0.011198640686080652,8
